probe	locus
Os.4629.1.S1_at	LOC_Os01g03760
Os.38390.1.S1_at	LOC_Os01g03840
Os.20597.1.S1_at	LOC_Os01g03870
Os.31056.1.S1_at	LOC_Os01g03900
Os.11240.1.S1_at	LOC_Os01g03914
Os.52798.1.S1_at	LOC_Os01g03914
OsAffx.23104.1.S1_at	LOC_Os01g03914
OsAffx.10898.1.S1_at	LOC_Os01g03940
Os.19761.1.S1_at	LOC_Os01g03950
Os.19761.2.A1_at	LOC_Os01g03950
Os.3721.1.S1_at	LOC_Os01g03980
Os.4663.1.S1_at	LOC_Os01g04020
Os.4663.1.S2_at	LOC_Os01g04020
Os.16822.1.S1_at	LOC_Os01g04030
Os.3729.1.S1_at	LOC_Os01g04050
Os.27368.1.A1_at	LOC_Os01g04100
Os.10748.1.S1_at	LOC_Os01g04110
Os.23841.1.A1_at	LOC_Os01g04120
OsAffx.1926.1.S1_at	LOC_Os01g04130
Os.29823.2.S1_x_at	LOC_Os01g04160
Os.29823.3.S1_at	LOC_Os01g04160
Os.37152.1.S1_at	LOC_Os01g04170
Os.45939.1.S1_at	LOC_Os01g04190
Os.45939.1.S1_x_at	LOC_Os01g04190
Os.6624.1.S1_s_at	LOC_Os01g04190
Os.25441.1.S1_a_at	LOC_Os01g04200
Os.45423.1.S1_at	LOC_Os01g04230
Os.50878.1.S1_at	LOC_Os01g04250
Os.10829.1.S1_at	LOC_Os01g04260
Os.10829.2.S1_x_at	LOC_Os01g04260
Os.28514.1.S1_at	LOC_Os01g04280
Os.6014.2.S1_x_at	LOC_Os01g04300
OsAffx.10903.2.S1_at	LOC_Os01g04320
OsAffx.10903.1.S1_x_at	LOC_Os01g04324
Os.36767.1.S1_at	LOC_Os01g04330
Os.36328.1.S1_at	LOC_Os01g04340
Os.14405.1.S1_at	LOC_Os01g04350
OsAffx.10905.3.S1_at	LOC_Os01g04360
Os.4775.2.S1_at	LOC_Os01g04370
Os.4775.1.S1_at	LOC_Os01g04380
Os.51285.1.S1_at	LOC_Os01g04390
Os.14959.1.S1_at	LOC_Os01g04409
Os.17751.1.S1_at	LOC_Os01g04430
Os.53345.1.S1_at	LOC_Os01g04450
Os.53461.1.S1_at	LOC_Os01g04500
OsAffx.23111.1.S1_s_at	LOC_Os01g04530
Os.6149.1.S1_at	LOC_Os01g04580
Os.33939.1.A1_at	LOC_Os01g04590
Os.21801.1.S1_at	LOC_Os01g04620
Os.8796.1.S2_s_at	LOC_Os01g04630
Os.21448.1.S1_s_at	LOC_Os01g04640
OsAffx.1932.1.S1_at	LOC_Os01g04640
Os.4763.1.S1_at	LOC_Os01g04650
Os.4763.1.S2_at	LOC_Os01g04650
Os.16097.1.S1_a_at	LOC_Os01g04660
OsAffx.10908.1.S1_at	LOC_Os01g04670
Os.45412.1.S1_at	LOC_Os01g04690
Os.739.1.S1_at	LOC_Os01g04710
Os.742.1.S1_x_at	LOC_Os01g04720
Os.26422.1.S1_x_at	LOC_Os01g04730
OsAffx.10909.1.S1_at	LOC_Os01g04730
Os.45405.1.A1_at	LOC_Os01g04750
Os.7385.2.S1_a_at	LOC_Os01g04814
Os.38312.1.S1_at	LOC_Os01g04860
Os.38312.2.S1_x_at	LOC_Os01g04860
Os.28010.1.S1_at	LOC_Os01g04870
Os.1617.1.S1_at	LOC_Os01g04910
Os.11870.1.S1_at	LOC_Os01g04920
Os.1619.1.S1_at	LOC_Os01g04930
Os.4709.1.S1_a_at	LOC_Os01g04950
Os.31513.1.S1_at	LOC_Os01g04990
Os.1625.1.S1_at	LOC_Os01g05010
Os.11429.1.S1_at	LOC_Os01g05060
Os.19183.1.S1_at	LOC_Os01g05064
Os.17266.1.S1_at	LOC_Os01g05070
Os.1798.1.S1_at	LOC_Os01g05080
Os.17736.1.S1_at	LOC_Os01g05130
Os.36597.1.S1_at	LOC_Os01g05140
Os.36597.1.S1_x_at	LOC_Os01g05140
OsAffx.10914.1.S1_at	LOC_Os01g05260
Os.39201.1.A1_at	LOC_Os01g05289
Os.16530.1.S1_at	LOC_Os01g05420
OsAffx.23124.1.S1_at	LOC_Os01g05430
OsAffx.23124.2.S1_s_at	LOC_Os01g05430
Os.18514.1.S1_at	LOC_Os01g05470
Os.31681.1.S1_at	LOC_Os01g05480
Os.12602.1.S1_at	LOC_Os01g05490
Os.22886.1.A1_at	LOC_Os01g05490
Os.46048.1.S1_x_at	LOC_Os01g05500
Os.7837.1.S1_at	LOC_Os01g05500
Os.7837.1.S1_s_at	LOC_Os01g05500
OsAffx.10921.1.S1_x_at	LOC_Os01g05500
Os.49377.1.S1_at	LOC_Os01g05510
Os.38086.1.S1_at	LOC_Os01g05530
Os.38086.2.S1_x_at	LOC_Os01g05530
Os.38296.1.S1_at	LOC_Os01g05540
Os.6138.1.S1_at	LOC_Os01g05560
OsAffx.1703.1.S1_at	LOC_Os01g05580
Os.35005.1.S1_x_at	LOC_Os01g05585
Os.523.1.S1_at	LOC_Os01g05660
Os.6202.1.S1_a_at	LOC_Os01g05670
Os.45364.1.S1_at	LOC_Os01g05790
Os.534.2.S1_x_at	LOC_Os01g05800
Os.534.3.S1_x_at	LOC_Os01g05800
Os.10096.1.S1_a_at	LOC_Os01g05830
Os.10096.1.S1_at	LOC_Os01g05830
Os.10096.2.S1_x_at	LOC_Os01g05830
Os.536.1.S1_at	LOC_Os01g05840
OsAffx.23127.1.S1_at	LOC_Os01g05860
Os.19803.5.S1_at	LOC_Os01g05900
Os.32822.1.S1_at	LOC_Os01g05960
Os.47037.1.S1_at	LOC_Os01g06010
Os.24869.1.A1_at	LOC_Os01g06020
Os.54577.1.S1_at	LOC_Os01g06050
Os.1904.1.S1_at	LOC_Os01g06130
Os.49713.1.S1_at	LOC_Os01g06140
Os.31874.1.S1_at	LOC_Os01g06150
Os.31874.2.S1_x_at	LOC_Os01g06150
OsAffx.23133.1.S1_at	LOC_Os01g06240
Os.19218.1.S1_x_at	LOC_Os01g06270
Os.37997.1.S1_s_at	LOC_Os01g06270
OsAffx.10936.1.S1_x_at	LOC_Os01g06270
Os.6389.1.S1_at	LOC_Os01g06310
Os.1460.2.S1_at	LOC_Os01g06454
Os.1460.1.S1_at	LOC_Os01g06460
Os.1460.3.S1_x_at	LOC_Os01g06460
Os.174.1.S1_at	LOC_Os01g06470
Os.24975.1.S1_a_at	LOC_Os01g06490
Os.46028.1.S1_at	LOC_Os01g06510
OsAffx.10938.1.S1_at	LOC_Os01g06540
Os.12454.1.S1_a_at	LOC_Os01g06550
Os.4770.1.S1_a_at	LOC_Os01g06560
Os.1438.1.S1_at	LOC_Os01g06590
Os.1440.1.S1_at	LOC_Os01g06600
Os.1440.2.S1_x_at	LOC_Os01g06600
Os.9437.1.S1_at	LOC_Os01g06620
Os.37558.1.S1_at	LOC_Os01g06630
Os.1443.1.S1_a_at	LOC_Os01g06640
Os.1445.1.S1_at	LOC_Os01g06660
OsAffx.1685.1.S1_at	LOC_Os01g06680
OsAffx.22766.1.S1_at	LOC_Os01g06680
Os.11371.1.S1_at	LOC_Os01g06740
OsAffx.10949.1.S1_x_at	LOC_Os01g07060
Os.45300.1.A1_at	LOC_Os01g07070
Os.45300.1.S1_at	LOC_Os01g07070
Os.8829.1.S1_at	LOC_Os01g07070
Os.32557.1.S1_at	LOC_Os01g07080
Os.32557.1.S1_s_at	LOC_Os01g07080
Os.5408.1.S1_at	LOC_Os01g07090
Os.21141.1.S1_at	LOC_Os01g07100
Os.21563.1.S1_a_at	LOC_Os01g07120
Os.7217.1.S1_a_at	LOC_Os01g07140
Os.14483.1.S1_x_at	LOC_Os01g07170
Os.46162.1.S1_at	LOC_Os01g07170
OsAffx.28142.2.S1_s_at	LOC_Os01g07180
Os.32568.1.S1_at	LOC_Os01g07200
Os.18398.1.S1_at	LOC_Os01g07212
OsAffx.23145.1.S1_s_at	LOC_Os01g07212
Os.54072.1.S1_x_at	LOC_Os01g07240
Os.37707.1.S1_at	LOC_Os01g07250
Os.37707.2.S1_x_at	LOC_Os01g07250
Os.18583.1.S1_at	LOC_Os01g07260
Os.18583.2.S1_at	LOC_Os01g07260
Os.18583.2.S1_x_at	LOC_Os01g07260
Os.49697.1.S1_at	LOC_Os01g07280
Os.1665.1.S1_a_at	LOC_Os01g07300
Os.1665.2.S1_x_at	LOC_Os01g07300
Os.9898.1.S1_at	LOC_Os01g07310
OsAffx.10952.2.S1_at	LOC_Os01g07320
Os.34951.1.S1_at	LOC_Os01g07330
Os.23703.1.A1_at	LOC_Os01g07350
Os.23703.2.S1_at	LOC_Os01g07350
Os.23703.2.S1_x_at	LOC_Os01g07350
Os.34142.1.S1_at	LOC_Os01g07360
Os.37822.1.A1_a_at	LOC_Os01g07370
Os.37822.3.A1_s_at	LOC_Os01g07370
Os.16494.1.S1_at	LOC_Os01g07376
Os.38232.1.S1_at	LOC_Os01g07382
Os.46325.1.A1_at	LOC_Os01g07390
Os.10353.1.S1_at	LOC_Os01g07400
Os.17118.1.A1_at	LOC_Os01g07410
OsAffx.22754.1.S1_s_at	LOC_Os01g07410
OsAffx.22754.1.S1_x_at	LOC_Os01g07410
Os.1678.1.S1_at	LOC_Os01g07420
Os.18280.1.S1_at	LOC_Os01g07480
Os.18584.1.S1_at	LOC_Os01g07490
Os.37066.1.S1_at	LOC_Os01g07500
Os.9383.1.S1_a_at	LOC_Os01g07520
Os.9383.2.S1_x_at	LOC_Os01g07520
Os.6418.1.S1_at	LOC_Os01g07530
Os.20460.1.S1_at	LOC_Os01g07540
OsAffx.1956.1.S1_at	LOC_Os01g07540
Os.16980.1.S1_s_at	LOC_Os01g07560
OsAffx.23150.1.S1_at	LOC_Os01g07560
Os.20276.1.S1_at	LOC_Os01g07570
Os.15606.1.S1_at	LOC_Os01g07590
Os.15606.1.S2_at	LOC_Os01g07590
Os.54010.1.S1_at	LOC_Os01g07600
Os.53998.1.S1_at	LOC_Os01g07610
Os.57176.1.S1_at	LOC_Os01g07620
Os.49171.1.A1_at	LOC_Os01g07630
Os.49171.1.A1_x_at	LOC_Os01g07630
Os.14395.1.S1_at	LOC_Os01g07700
Os.16184.1.S1_at	LOC_Os01g07720
Os.51043.1.S1_at	LOC_Os01g07730
Os.7205.1.A1_at	LOC_Os01g07740
Os.10212.1.S1_at	LOC_Os01g07750
Os.155.1.S1_a_at	LOC_Os01g07760
OsAffx.23156.1.S1_at	LOC_Os01g07800
Os.6842.1.S1_at	LOC_Os01g07810
Os.15532.1.S1_at	LOC_Os01g07870
OsAffx.1957.1.S1_at	LOC_Os01g07880
Os.25117.1.A1_at	LOC_Os01g07890
Os.50446.1.S1_at	LOC_Os01g07900
Os.53199.1.S1_at	LOC_Os01g07910
Os.32457.1.S1_at	LOC_Os01g07920
OsAffx.10958.1.S1_x_at	LOC_Os01g07920
Os.33127.2.S1_x_at	LOC_Os01g07940
Os.9548.1.S1_at	LOC_Os01g07950
Os.9548.2.S1_s_at	LOC_Os01g07950
Os.12006.1.S1_a_at	LOC_Os01g07960
Os.34466.1.S1_s_at	LOC_Os01g07970
Os.33974.1.S1_at	LOC_Os01g08010
Os.32668.1.S1_at	LOC_Os01g08090
Os.551.1.S1_at	LOC_Os01g08110
OsAffx.10960.1.S1_at	LOC_Os01g08120
Os.554.1.S1_at	LOC_Os01g08150
Os.29819.1.S1_at	LOC_Os01g08160
Os.23654.1.S1_at	LOC_Os01g08190
Os.23654.2.S1_x_at	LOC_Os01g08190
Os.7173.1.S1_at	LOC_Os01g08200
Os.7173.1.S1_s_at	LOC_Os01g08200
Os.47982.1.A1_at	LOC_Os01g08260
Os.47982.1.A1_x_at	LOC_Os01g08260
Os.47982.2.S1_x_at	LOC_Os01g08260
Os.50272.1.S1_s_at	LOC_Os01g08270
Os.25067.1.S1_a_at	LOC_Os01g08280
Os.55822.1.A1_at	LOC_Os01g08310
OsAffx.10962.1.S1_x_at	LOC_Os01g08310
Os.42934.1.A1_at	LOC_Os01g08320
Os.9069.1.S1_at	LOC_Os01g08320
Os.54294.1.S1_at	LOC_Os01g08340
Os.29008.1.S1_at	LOC_Os01g08370
Os.29008.1.S1_x_at	LOC_Os01g08370
Os.31960.1.S1_at	LOC_Os01g08400
Os.12810.1.S1_at	LOC_Os01g08410
Os.12810.2.S1_x_at	LOC_Os01g08410
Os.980.1.S1_a_at	LOC_Os01g08420
Os.17699.1.S1_at	LOC_Os01g08430
Os.17699.2.S1_x_at	LOC_Os01g08430
Os.8045.1.S1_at	LOC_Os01g08440
Os.27659.1.S1_x_at	LOC_Os01g08460
Os.8113.1.S1_at	LOC_Os01g08470
Os.8113.2.S1_x_at	LOC_Os01g08470
Os.36975.3.S1_x_at	LOC_Os01g08510
Os.23583.1.S1_at	LOC_Os01g08520
Os.23583.2.S1_x_at	LOC_Os01g08520
Os.50609.1.S1_at	LOC_Os01g08540
Os.23665.1.A1_at	LOC_Os01g08550
Os.5504.1.S1_at	LOC_Os01g08560
Os.5504.1.S2_at	LOC_Os01g08560
Os.7545.1.S1_a_at	LOC_Os01g08660
Os.51447.1.S1_s_at	LOC_Os01g08670
Os.34739.1.S1_a_at	LOC_Os01g08680
OsAffx.10970.1.S1_at	LOC_Os01g08690
Os.7987.1.S1_at	LOC_Os01g08700
Os.55762.1.S1_at	LOC_Os01g08710
Os.25107.1.S1_at	LOC_Os01g08750
Os.25107.2.S1_at	LOC_Os01g08750
Os.505.1.S1_x_at	LOC_Os01g08750
OsAffx.10972.2.S1_x_at	LOC_Os01g08750
OsAffx.10973.1.S1_s_at	LOC_Os01g08760
OsAffx.10973.1.S1_x_at	LOC_Os01g08760
OsAffx.10973.2.S1_at	LOC_Os01g08760
OsAffx.10973.2.S1_s_at	LOC_Os01g08760
Os.17792.1.S1_at	LOC_Os01g08770
Os.29290.1.S1_at	LOC_Os01g08780
Os.9695.1.S1_at	LOC_Os01g08830
Os.33427.1.S1_at	LOC_Os01g08850
Os.519.1.S1_at	LOC_Os01g08860
Os.3774.1.S1_at	LOC_Os01g08930
Os.3774.2.S1_x_at	LOC_Os01g08930
Os.7840.1.S1_at	LOC_Os01g08970
Os.19764.1.S1_at	LOC_Os01g09000
Os.19764.1.S2_at	LOC_Os01g09000
Os.4905.1.S1_a_at	LOC_Os01g09010
Os.4905.5.A1_at	LOC_Os01g09010
Os.23033.1.S1_s_at	LOC_Os01g09020
Os.20153.1.S1_x_at	LOC_Os01g09030
OsAffx.23168.1.S1_at	LOC_Os01g09030
OsAffx.10978.1.S1_at	LOC_Os01g09080
Os.29979.1.S1_at	LOC_Os01g09100
Os.26449.1.S1_at	LOC_Os01g09120
Os.19128.1.S1_at	LOC_Os01g09200
Os.3808.4.S1_x_at	LOC_Os01g09220
Os.12093.1.S1_at	LOC_Os01g09246
Os.12093.2.S1_x_at	LOC_Os01g09246
Os.42888.1.S1_at	LOC_Os01g09252
Os.42888.2.S1_x_at	LOC_Os01g09252
Os.3818.1.S1_a_at	LOC_Os01g09280
Os.18077.1.S1_at	LOC_Os01g09300
Os.25052.1.S1_at	LOC_Os01g09305
Os.12492.1.S1_at	LOC_Os01g09320
Os.9859.2.S1_at	LOC_Os01g09370
Os.9853.1.S1_at	LOC_Os01g09410
Os.9853.2.S1_x_at	LOC_Os01g09410
Os.9850.1.S1_s_at	LOC_Os01g09420
Os.1465.1.S1_at	LOC_Os01g09430
Os.19952.1.S1_at	LOC_Os01g09450
Os.33758.1.S1_s_at	LOC_Os01g09460
Os.33758.2.S1_s_at	LOC_Os01g09460
Os.33758.2.S1_x_at	LOC_Os01g09460
Os.42877.1.S1_at	LOC_Os01g09470
Os.37611.1.S1_at	LOC_Os01g09510
Os.37611.2.S1_x_at	LOC_Os01g09510
Os.27469.2.S1_at	LOC_Os01g09550
Os.5825.1.S1_a_at	LOC_Os01g09560
Os.12230.1.S1_a_at	LOC_Os01g09570
Os.613.1.S1_a_at	LOC_Os01g09580
Os.10204.1.S1_at	LOC_Os01g09590
Os.20244.1.S1_at	LOC_Os01g09620
Os.49042.1.A1_s_at	LOC_Os01g09620
Os.623.2.S1_x_at	LOC_Os01g09640
Os.623.3.S1_x_at	LOC_Os01g09640
Os.625.1.S1_at	LOC_Os01g09670
Os.6034.1.S1_at	LOC_Os01g09700
Os.24087.1.S1_at	LOC_Os01g09750
Os.45934.3.S1_at	LOC_Os01g09760
Os.45934.3.S1_x_at	LOC_Os01g09760
Os.45934.1.S1_at	LOC_Os01g09770
Os.33983.1.S1_at	LOC_Os01g09790
Os.27112.1.S1_at	LOC_Os01g09800
Os.11166.1.S1_s_at	LOC_Os01g09830
Os.4648.1.S1_at	LOC_Os01g09850
Os.32248.1.S1_a_at	LOC_Os01g09860
Os.32248.1.S1_at	LOC_Os01g09860
Os.32248.2.S1_x_at	LOC_Os01g09860
Os.39373.1.A1_at	LOC_Os01g09880
OsAffx.23175.1.S1_x_at	LOC_Os01g09880
Os.4960.1.S1_at	LOC_Os01g09890
Os.4960.1.S1_s_at	LOC_Os01g09890
OsAffx.23176.1.S1_at	LOC_Os01g09900
Os.32770.1.S1_at	LOC_Os01g09990
OsAffx.23179.1.S1_s_at	LOC_Os01g10010
Os.4196.1.S1_at	LOC_Os01g10020
Os.53374.1.S1_at	LOC_Os01g10030
Os.43600.1.S1_at	LOC_Os01g10040
Os.45942.1.S1_at	LOC_Os01g10050
Os.2196.1.S1_a_at	LOC_Os01g10080
Os.32212.1.A1_at	LOC_Os01g10130
Os.2202.3.S1_x_at	LOC_Os01g10140
Os.2203.3.S1_x_at	LOC_Os01g10150
Os.30696.1.S1_at	LOC_Os01g10180
Os.20203.1.S1_at	LOC_Os01g10210
Os.20203.1.S1_s_at	LOC_Os01g10210
OsAffx.10993.1.S1_at	LOC_Os01g10240
Os.9487.1.S1_a_at	LOC_Os01g10250
OsAffx.22146.1.S1_x_at	LOC_Os01g10260
Os.14917.1.S1_at	LOC_Os01g10280
Os.14917.1.S1_x_at	LOC_Os01g10280
Os.14917.2.S1_at	LOC_Os01g10280
Os.14917.2.S1_x_at	LOC_Os01g10280
Os.6428.1.S1_at	LOC_Os01g10340
Os.35261.1.S1_at	LOC_Os01g10350
Os.55837.1.S1_at	LOC_Os01g10370
Os.55837.1.S1_x_at	LOC_Os01g10370
Os.7992.1.S1_a_at	LOC_Os01g10400
OsAffx.22143.2.S1_at	LOC_Os01g10420
Os.27867.1.S1_at	LOC_Os01g10430
Os.18296.1.S1_x_at	LOC_Os01g10440
Os.7304.1.S1_at	LOC_Os01g10450
OsAffx.1292.1.S1_at	LOC_Os01g10450
Os.50846.1.S1_s_at	LOC_Os01g10490
Os.53609.1.S1_s_at	LOC_Os01g10490
Os.1288.1.S1_at	LOC_Os01g10530
OsAffx.23188.1.S1_x_at	LOC_Os01g10550
Os.15198.1.S1_at	LOC_Os01g10580
OsAffx.23189.2.S1_at	LOC_Os01g10590
Os.45980.1.S1_s_at	LOC_Os01g10600
Os.1302.1.S1_at	LOC_Os01g10610
Os.54635.1.S1_at	LOC_Os01g10630
Os.33166.1.S1_at	LOC_Os01g10680
Os.24974.1.S1_a_at	LOC_Os01g10690
OsAffx.22126.1.S1_at	LOC_Os01g10740
Os.1402.1.S1_at	LOC_Os01g10790
Os.28976.1.S1_at	LOC_Os01g10800
Os.1404.1.S1_at	LOC_Os01g10820
Os.22640.1.A1_at	LOC_Os01g10830
Os.1406.1.S1_at	LOC_Os01g10850
Os.1408.1.S1_at	LOC_Os01g10860
Os.32657.1.S1_at	LOC_Os01g10930
Os.14564.1.S1_at	LOC_Os01g10950
Os.34020.2.S1_at	LOC_Os01g10960
OsAffx.22124.3.S1_s_at	LOC_Os01g10970
Os.28458.1.S1_at	LOC_Os01g11040
Os.27513.1.A1_a_at	LOC_Os01g11054
Os.17532.1.S1_at	LOC_Os01g11070
Os.17532.2.S1_s_at	LOC_Os01g11070
Os.11930.1.S1_at	LOC_Os01g11110
Os.27489.1.A1_at	LOC_Os01g11120
Os.27489.2.A1_x_at	LOC_Os01g11120
Os.34147.1.S1_at	LOC_Os01g11130
Os.30473.1.S1_at	LOC_Os01g11150
Os.33762.1.S1_at	LOC_Os01g11160
Os.31675.1.S1_at	LOC_Os01g11210
Os.9306.1.S1_at	LOC_Os01g11230
Os.12788.1.S1_at	LOC_Os01g11240
Os.52800.1.S1_at	LOC_Os01g11260
Os.48011.1.S1_at	LOC_Os01g11280
Os.37093.1.S1_at	LOC_Os01g11340
Os.33336.1.S1_at	LOC_Os01g11350
Os.36498.1.S1_at	LOC_Os01g11360
